Mjj,dYjj,wgdata,wg,wgvbs,wjets,z,dp,ttbar
200,1,1531.0,858.9625222805771,180.7235671159615,18.38469523191452,145.18365025520325,551.0863189697266,168.48738487456285
200,1.5,1400.0,780.9901133064996,172.47110123221137,16.371703803539276,142.32686161994934,551.0863189697266,144.45792371016796
200,2,1194.0,668.9014234415372,159.58359878214014,15.595845270901918,135.28681707382202,551.0863189697266,117.07691177725792
200,2.5,974.0,553.4382354422996,138.97930369974983,12.203077603131533,117.37398445606232,551.0863189697266,84.99808115459382
200,3,751.0,400.3580141442362,112.6623928121362,9.00673894956708,87.38869392871857,551.0863189697266,54.85042233319837
250,1,1094.0,623.4897557947843,157.19006344612626,9.409360457211733,115.76229119300842,551.0863189697266,110.1967723680209
250,1.5,1025.0,579.3689884757041,151.31360444875372,9.409360457211733,112.90550255775452,551.0863189697266,98.07598520884494
250,2,917.0,512.617742629227,142.18577632544566,9.409360457211733,108.63841485977173,551.0863189697266,84.49450187828188
250,2.5,786.0,443.5180566197232,127.82487681744624,6.016592789441347,96.73497593402863,551.0863189697266,67.02184395747463
250,3,634.0,344.0320710230444,107.59132475642491,2.820254135876894,78.06328308582306,551.0863189697266,48.03208491026089
300,1,795.0,460.42175476421835,135.54240166844738,5.974837779998779,82.96001780033112,410.4766845703125,73.09581511335819
300,1.5,757.0,428.2231986153347,131.41818094468454,5.974837779998779,80.10322725772858,410.4766845703125,67.55875489648315
300,2,692.0,388.39330226262973,125.37865680692721,5.974837779998779,80.10322725772858,410.4766845703125,60.71323423011927
300,2.5,609.0,348.3739946358255,115.25982786206532,5.974837779998779,80.10322725772858,410.4766845703125,50.802325928898426
300,3,518.0,285.3046299730413,99.52209109304476,2.778499126434326,68.74540674686432,410.4766845703125,39.08342926807745
350,1,596.0,347.17745217370975,115.7735579917562,5.974837779998779,64.59730589389801,410.4766845703125,51.243293262796215
350,1.5,573.0,321.6983622342377,113.08982733499124,5.974837779998779,64.59730589389801,410.4766845703125,47.94004799535833
350,2,533.0,294.0617621934216,108.81709209713244,5.974837779998779,64.59730589389801,410.4766845703125,44.41959746733119
350,2.5,475.0,270.3947645222943,101.21247748914266,5.974837779998779,64.59730589389801,410.4766845703125,38.48065550805404
350,3,414.0,228.1573139121101,89.46300629410052,2.778499126434326,61.13016664981842,410.4766845703125,31.35385800892618
400,1,457.0,269.7794572303101,100.66115833796675,2.778499126434326,48.130624413490295,410.4766845703125,37.526600645467624
400,1.5,440.0,252.6129950832037,98.67131414007554,2.778499126434326,48.130624413490295,410.4766845703125,36.04143241634847
400,2,417.0,230.72044006153737,95.56677987191279,2.778499126434326,48.130624413490295,410.4766845703125,33.850104342249324
400,2.5,378.0,215.4926829652468,89.86160865190823,2.778499126434326,48.130624413490295,410.4766845703125,30.30223425389522
400,3,338.0,186.14360462122568,80.74990271541674,2.778499126434326,48.130624413490295,410.4766845703125,25.743506482851444
450,1,347.0,211.06418909248896,87.77952385868002,2.778499126434326,42.792157769203186,410.4766845703125,29.301507620946722
450,1.5,337.0,200.99914853999508,86.36409807889822,2.778499126434326,42.792157769203186,410.4766845703125,28.28053495182212
450,2,323.0,186.3443426428421,83.98060787430359,2.778499126434326,42.792157769203186,410.4766845703125,27.00861561192687
450,2.5,291.0,177.83356004339294,79.13948245307756,2.778499126434326,42.792157769203186,410.4766845703125,24.685431365736804
450,3,262.0,154.0142035800891,71.59211311450554,2.778499126434326,42.792157769203186,410.4766845703125,21.3829882488335
