Mjj,dYjj,wgdata,wg,wgvbs,wjets,z,dp,ttbar
200,1,1393.0,686.9235360605526,156.68866804497338,12.156455397605896,98.69678604602814,551.0863189697266,211.95536872528464
200,1.5,1217.0,594.535150085314,146.9850849436816,10.143463969230652,89.69744122028351,551.0863189697266,177.92452785306887
200,2,966.0,468.3945643476618,132.92464444477082,9.367605447769165,85.43035447597504,551.0863189697266,138.27838183812491
200,2.5,715.0,349.6301924625586,111.85256470430613,5.974837779998779,70.01713132858276,551.0863189697266,93.8637309194637
200,3,488.0,207.1831805156471,86.21519910745701,2.778499126434326,42.13520169258118,551.0863189697266,54.72572288264928
250,1,1032.0,526.5912014598725,139.12170309242583,9.367605447769165,87.18964493274689,551.0863189697266,144.69422131821193
250,1.5,941.0,472.83799524272035,132.1947256419171,9.367605447769165,78.19030106067657,551.0863189697266,127.09926566057766
250,2,799.0,393.06564313726267,121.72472650525378,9.367605447769165,73.9232143163681,551.0863189697266,106.1751629250648
250,2.5,640.0,312.4274806778558,106.24910659310626,5.974837779998779,64.5193829536438,551.0863189697266,80.90656168713758
250,3,465.0,200.49566382634657,84.82657455620574,2.778499126434326,42.13520169258118,551.0863189697266,52.19371737711754
300,1,761.0,394.2673585323355,121.18104420037162,5.974837779998779,60.95415258407593,410.4766845703125,99.83926213879022
300,1.5,711.0,354.4027084379559,116.24869053011753,5.974837779998779,54.26870107650757,410.4766845703125,91.41559878157204
300,2,625.0,304.8836016703717,109.21301732924985,5.974837779998779,54.26870107650757,410.4766845703125,80.52264861148251
300,2.5,516.0,254.8322589311938,98.0754244845848,5.974837779998779,54.26870107650757,410.4766845703125,65.1791662747928
300,3,407.0,177.01441184664873,81.07013110039043,2.778499126434326,39.19839119911194,410.4766845703125,46.21481991686869
350,1,572.0,298.6164648246777,104.26594027508145,5.974837779998779,47.80671691894531,410.4766845703125,71.92046557630238
350,1.5,540.0,266.79453600181296,100.94798019670816,5.974837779998779,43.97805690765381,410.4766845703125,66.95541289744506
